ts,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,baro
0,9.54736233,-1.74676049,-1.25862467,0.0171042271,-0.0122173047,-0.00244346098,86275.1484
20000,9.59043312,-1.75154614,-1.32562375,0.00733038317,-0.00977384392,-0.00488692196,86265.6719
40000,9.59521866,-1.83768773,-1.3734802,0.00977384392,-0.00977384392,-0.00488692196,86275.0
60000,9.60957527,-1.7563318,-1.3734802,0.0219911486,-0.0122173047,0.0,86272.3906
80000,9.66221809,-1.78504574,-1.42612231,0.0219911486,-0.00977384392,-0.00488692196,86265.6719
100000,9.54736233,-1.67976153,-1.28255296,0.00733038317,-0.00977384392,-0.00244346098,86272.5078
120000,9.52822018,-1.78504574,-1.34955192,-0.00244346098,-0.0122173047,-0.00244346098,86268.9453
140000,9.63350391,-1.7563318,-1.34476638,-0.0146607663,-0.0122173047,0.0,86270.3125
160000,9.60478973,-1.78026009,-1.37826586,-0.0146607663,-0.00977384392,-0.00488692196,86261.1797
180000,9.56650448,-1.82811654,-1.42612231,-0.00733038317,-0.0122173047,0.0,86273.8281
200000,9.62393284,-1.72283232,-1.26819599,-0.0122173047,-0.00977384392,0.0,86268.5078
220000,9.58564758,-1.86161602,-1.33519506,-0.0146607663,-0.00977384392,-0.00244346098,86270.0703
240000,9.56650448,-1.74197483,-1.24905348,-0.0122173047,-0.00977384392,-0.00244346098,86268.8281
260000,9.59521866,-1.83290219,-1.23948216,-0.00488692196,0.0146607663,-0.00488692196,86269.1172
280000,9.59043312,-1.9477576,-1.31126678,0.0146607663,-0.0122173047,-0.00244346098,86273.7578
300000,9.56650448,-1.78026009,-1.18684006,0.0219911486,0.00244346098,-0.00244346098,86284.7891
320000,9.59521866,-1.93340075,-1.35912323,0.0244346093,0.0122173047,0.0,86270.1172
340000,9.60957527,-1.73240364,-1.22991085,0.0244346093,0.0122173047,-0.00244346098,86265.7969
360000,9.57607651,-1.82811654,-1.28733861,0.0146607663,-0.00977384392,-0.00488692196,86270.1953
380000,9.59521866,-1.86640167,-1.35433757,0.0244346093,-0.0122173047,-0.00244346098,86275.9531
400000,9.60478973,-1.65583324,-1.28255296,0.0244346093,-0.0122173047,-0.00244346098,86272.0703
420000,9.57607651,-1.8520447,-1.39740837,0.00977384392,-0.0146607663,-0.00488692196,86275.8828
440000,9.58086205,-1.71326101,-1.31126678,0.0171042271,-0.0122173047,-0.00244346098,86271.3672
460000,9.62393284,-1.71326101,-1.40697968,0.00488692196,-0.00977384392,-0.00244346098,86266.7266
480000,9.58086205,-1.74197483,-1.38783717,-0.00977384392,-0.0122173047,-0.00488692196,86267.3125
500000,9.56171894,-1.74197483,-1.28733861,-0.00244346098,-0.00977384392,-0.00244346098,86271.8281
520000,9.63350391,-1.81375957,-1.40697968,-0.00977384392,-0.0122173047,-0.00244346098,86265.625
540000,9.58086205,-1.72283232,-1.2777673,-0.0122173047,-0.00977384392,-0.00244346098,86279.8828
560000,9.57607651,-1.82811654,-1.33998072,-0.00488692196,-0.0122173047,0.0,86267.8516
580000,9.60478973,-1.78504574,-1.24426782,-0.00733038317,-0.00977384392,-0.00488692196,86269.4375
600000,9.59521866,-1.82333088,-1.28733861,-0.00733038317,-0.0122173047,-0.00244346098,86278.2734
620000,9.57607651,-1.85683036,-1.32562375,0.00488692196,-0.0122173047,-0.00488692196,86269.4375
640000,9.60957527,-1.81854522,-1.21076822,0.00733038317,-0.00977384392,-0.00244346098,86274.8828
660000,9.6191473,-1.86161602,-1.30169547,0.0146607663,-0.00977384392,-0.00488692196,86263.5
680000,9.56650448,-1.73718929,-1.30169547,0.0146607663,-0.0122173047,-0.00244346098,86266.0625
700000,9.59043312,-1.81854522,-1.34476638,0.00244346098,-0.0122173047,-0.00244346098,86275.0
720000,9.60478973,-1.81854522,-1.31605244,0.00488692196,-0.00977384392,-0.00244346098,86268.1172
740000,9.59521866,-1.72283232,-1.29212427,0.00733038317,-0.00977384392,-0.00244346098,86270.5547
760000,9.58086205,-1.79461694,-1.38305151,0.00733038317,-0.0122173047,-0.00244346098,86267.2344
780000,9.63350391,-1.76590312,-1.30648112,0.00488692196,-0.0122173047,-0.00488692196,86276.125
800000,9.58086205,-1.78026009,-1.30648112,0.0,-0.00977384392,-0.00244346098,86267.6797
820000,9.6000042,-1.79940259,-1.33519506,0.0,-0.00977384392,-0.00488692196,86267.625
840000,9.60957527,-1.72283232,-1.33040941,0.00244346098,-0.0122173047,-0.00244346098,86276.5859
860000,9.60478973,-1.83768773,-1.32562375,0.0195476878,0.00244346098,-0.00488692196,86268.5547
880000,9.58086205,-1.86640167,-1.29212427,0.0268780701,0.00977384392,-0.00244346098,86269.8516
900000,9.6191473,-1.70847535,-1.32083809,0.0219911486,0.0122173047,-0.00244346098,86273.2422
920000,9.58086205,-1.78026009,-1.33519506,0.0195476878,-0.00488692196,-0.00488692196,86262.4766
940000,9.58564758,-1.78026009,-1.29690993,0.0268780701,0.00977384392,0.0,86271.6328
960000,9.6191473,-1.74197483,-1.35912323,0.00244346098,-0.00244346098,0.0,86271.6797
980000,9.60957527,-1.77547443,-1.34955192,-0.00977384392,-0.0122173047,-0.00244346098,86268.5547
1000000,9.57607651,-1.80418825,-1.33040941,0.00244346098,-0.00977384392,-0.00244346098,86262.6719
1020000,9.63350391,-1.80418825,-1.27298164,-0.00733038317,-0.00977384392,-0.00244346098,86260.9141
1040000,9.62393284,-1.82333088,-1.28733861,-0.00488692196,-0.0122173047,-0.00244346098,86267.9922
1060000,9.57129097,-1.80418825,-1.28733861,0.00244346098,-0.00977384392,-0.00488692196,86263.3047
1080000,9.56650448,-1.89990115,-1.25862467,0.00488692196,-0.0122173047,-0.00244346098,86265.1172
1100000,9.63828945,-1.84247339,-1.28255296,0.0195476878,-0.00977384392,-0.00244346098,86272.7344
1120000,9.5569334,-1.76590312,-1.32562375,0.0317649916,-0.00977384392,-0.00244346098,86262.0625
1140000,9.59043312,-1.75154614,-1.34955192,0.0244346093,-0.0122173047,-0.00244346098,86266.1172
1160000,9.6000042,-1.78504574,-1.34476638,0.0146607663,-0.0122173047,-0.00244346098,86276.1953
1180000,9.60478973,-1.69411838,-1.31605244,0.00977384392,-0.0122173047,-0.00244346098,86259.3516
1200000,9.53779125,-1.78504574,-1.33998072,0.0,-0.00977384392,-0.00244346098,86263.7969
1220000,9.6191473,-1.68933284,-1.32562375,0.00733038317,-0.0122173047,-0.00244346098,86268.3594
1240000,9.58086205,-1.74197483,-1.30169547,0.00244346098,-0.00977384392,-0.00488692196,86262.4062
1260000,9.58564758,-1.84247339,-1.33519506,0.0,-0.00977384392,0.0,86261.7422
1280000,9.6191473,-1.72761798,-1.32083809,0.00488692196,-0.00977384392,-0.00244346098,86262.4062
1300000,9.59043312,-1.82333088,-1.38783717,0.00244346098,-0.0122173047,-0.00488692196,86261.1562
1320000,9.57129097,-1.76111746,-1.28733861,0.0,-0.00977384392,-0.00244346098,86264.1641
1340000,9.6191473,-1.77068877,-1.33998072,-0.00488692196,-0.00977384392,0.00244346098,86273.0469
1360000,9.60478973,-1.77068877,-1.36869454,-0.00488692196,-0.00977384392,-0.00244346098,86260.625
